"","X","name","key","lat","lon","issues","cells","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"847",1086,"Trichilia hirta",1098369295,-17.7588,-44.1709,"iddatunl",22346300,213,124,68,1764,293,112,181,227,190,231,187,1243,313,1,92,716,16,498,35
"848",1087,"Trichilia hirta",1259263021,14.37722,-91.87166,"gass84,iddatunl",15675076,272,122,75,742,346,184,162,273,261,280,261,1525,299,2,93,770,11,499,11
"849",1088,"Trichilia hirta",1439045233,14.36361,-91.87889,"cdround,elmms,gass84",15683715,273,122,74,874,347,183,164,275,260,282,260,1278,251,2,94,658,9,415,9
"850",1090,"Trichilia hirta",1418401086,19.47667,-96.79333,"cdround,elmms,gass84",14620877,199,101,59,2194,283,113,170,215,174,222,168,1304,252,36,71,615,112,380,120
"851",1091,"Trichilia hirta",1228319164,14.0833,-87.9167,"gass84,iddatunl",15744290,182,108,67,1355,266,105,161,186,173,197,163,1715,344,13,84,808,43,590,48
"852",1093,"Trichilia hirta",1419357538,18.41639,-95.10889,"cdround,elmms,gass84",14845558,239,93,56,2213,326,160,166,253,236,265,209,2334,418,41,72,1166,142,384,258
"853",1094,"Trichilia hirta",1259878346,16.08111,-89.35083,"gass84",15329536,241,76,64,1499,299,181,118,254,238,256,219,2694,505,73,58,1210,228,636,349
"854",1095,"Trichilia hirta",1098148722,-15.14621,-39.72413,"cdrep,iddatunl",21802087,237,79,65,1277,296,175,121,247,225,252,219,967,140,39,38,366,138,279,145
"855",1096,"Trichilia hirta",1422217748,16.41444,-92.71194,"cdround,elmms,gass84",15260335,238,146,70,1416,340,133,207,244,220,255,217,1209,256,1,101,687,6,376,18
"856",1097,"Trichilia hirta",1439052980,16.54889,-92.75611,"cdround,elmms,gass84",15225774,240,141,71,1344,338,141,197,245,222,255,220,1050,219,1,102,614,7,307,21
"857",1098,"Trichilia hirta",606651704,18.32777,-65.65277,"gass84",14863545,260,83,70,1234,316,199,117,267,244,274,244,1683,208,70,33,577,233,484,233
